chapter,hiragana,kanji,english
7,はな,花,"flower, blossom"
7,シャツ,,shirt
7,プレゼント,,"present, gift"
7,にもつ,荷物,"baggage, parcel"
7,おかね,お金,money
7,きっぷ,切符,ticket
7,クリスマス,,Christmas
7,ちち,父,(my) father
7,おとうさん,お父さん,(someone else's) father
7,おかあさん,お母さん,(someone else's) mother
7,もう,,already
7,まだ,,not yet
7,これから,,"from now on, soon"
7,いらっしゃい。,,How nice of you to come. (lit. Welcome.)
7,りょこう,旅行,"trip, tour"
8,ハンサム［な］,,handsome
8,きれい［な］,,"beautiful, clean"
8,しずか［な］,静か［な］,quiet
8,にぎやか［な］,賑やか［な］,lively
8,ゆうめい［な］,有名［な］,famous
8,しんせつ［な］,親切［な］,kind
8,げんき［な］,元気［な］,"healthy, sound, cheerful"
8,べんり［な］,便利［な］,convenient
8,すてき［な］,素敵,"fine, nice, wonderful"
8,おおきい,大きい,"big, large"
8,ちいさい,小さい,"small, little"
8,あたらしい,新しい,new
8,ふるい,古い,old (not of age)
8,いい（よい）,,good
8,わるい,悪い,bad
8,あつい,厚い、熱い,hot
8,さむい,寒い,cold (referring to temperature)
8,つめたい,冷たい,"cold (referring to touch, as a drink)"
8,むずかしい,難しい,difficult
8,やさしい,易しい,easy
8,やすい,安い,inexpensive
8,ひくい,低い,low
8,おもしろい,面白い,interesting
8,おいしい,美味しい,"delicious, tasty"
8,いそがしい,忙しい,busy
8,たのしい,楽しい,enjoyable
8,しろい,白い,white
8,くろい,黒い,black
8,あおい,青い,blue
8,さくら,桜,cherry (blossom)
8,やま,山,mountain
8,まち,町,"town, city"
8,たべもの,食べ物,food
8,くるま,車,"car, vehicle"
8,ところ,所,place
8,りょう,寮,dormitory
8,せいかつ,生活,life
8,どう,,how
8,どんな～,,what kind of ~
8,どれ,,which one (of three or more)
8,とても,,very
8,あまり,,not so (used with negatives)
8,そして,,and (used to connect sentences)
8,おげんきですか。,お元気ですか。,How are you?
8,そうですね。,,Well let me see. (pausing)
8,にほんのせいかつになれまし,日本の生活に慣れました,Have you got used to the life in
8,たか。,か。,Japan?
8,いいえ、けっこうです。,,"No, thank you."
8,もう～です［ね］。,,"It's already ~ [, isn't it?]"
8,そろそろしつれいします。,そろそろ失礼します。,It's almost time to leave now.
8,またいらっしゃてください。,,Please come again.
9,わかります［が］,分かります,understand
9,すき［な］,好き［な］,like
9,きらい［な］,嫌い［な］,dislike
9,じょうず［な］,上手［な］,good at
9,へた［な］,下手［な］,poor at
9,りょうり,料理,"dish (cooked food), cooking"
9,のみもの,飲み物,drinks
9,スポーツ,,sport (～をします:play sports)
9,やきゅう,野球,baseball (～をします:play baseball)
9,ダンス,,dance (～をします:dance)
9,おんがく,音楽,music
9,うた,歌,song
9,クラシック,,classical music
9,ジャズ,,jazz
9,コンサート,,concert
9,カラオケ,,karaoke
9,かぶき,歌舞伎,Kabuki (traditional Japanese musical drama)
9,じ,字,"letter, character"
9,かんじ,漢字,Chinese characters
9,ひらがな,,Hiragana script
9,かたかな,,Katakana script
9,ローマじ,ローマ字,the Roman alpahabet
9,こまかいおかね,細かいお金,small change
9,じかん,時間,time
9,やくそく,約束,"appointment, promise"
9,ごしゅじん,ご主人,(someone else's) husband
9,おっと／しゅじん,夫／主人,(my) husband
9,おくさん,奥さん,(someone else's) wife
9,つま／かない,妻／家内,(my) wife
9,こども,子ども,child
9,だいたい,,"mostly, roughly"
9,たくさん,,"many, much"
9,すこし,少し,"a little, a few"
9,ぜんぜん,全然,not at all (used with negatives)
9,はやく,早く、速く,"early, quickly, fast"
9,～から,,because ~
9,どうして,,why
9,すみません。,,I am sorry.
9,もしもし,,hello (used on phone)
9,ああ,,oh
9,だめですか。,駄目ですか。,So you cannot (come)?
9,またこんどおねが,また今度お願い,Please ask me again some other time. (when refusing an
10,ありま［が］,,"exist, be (referring to inanimate things)"
10,いろいろ［な］,色々,various
10,おとこのひと,男の人,man
10,おんなのひと,女の人,woman
10,おとこのこ,男の子,boy
10,おんなのこ,女の子,girl
10,いぬ,犬,dog
10,ねこ,猫,cat
10,もの,物,thing
10,フィルム,,film
10,でんち,電池,battery
10,はこ,箱,box
10,スイッチ,,switch
10,れいぞうこ,冷蔵庫,refrigerator
10,ベッド,,bed
10,ドア,,door
10,まど,窓,window
10,ポスト,,"mailbox, postbox"
10,ビル,,building
10,こうえん,公園,park
10,きっさてん,喫茶店,coffee shop
10,～や,～屋,~ store
10,のりば,乗り場,"a fixed place to catch taxis, trains, etc."
10,けん,県,prefecture
10,うえ,上,"on, above, over"
10,した,下,"under, below, beneath"
10,うしろ,後ろ,"back, behind"
10,みぎ,右,right [side]
10,ひだり,左,left [side]
10,なか,中,"in, inside"
10,そと,外,outside
10,となり,隣,"next, next door"
10,ちかく,近く,"near, vicinity"
10,あいだ,間,"between, among"
10,いちばん～,一番,the most ~ (いちばん うえ: the top)
10,～だんめ,～段目,the ~th shelf (だん is the counter for shelves)
10,おく,奥,the back
10,スパイスコーナー,,spice corner
11,います［こどもが～］,,have [a child]
11,います［にほんに～］,,"stay, be [in Japan]"
11,かかります,掛ります,take (referring to time or money)
11,ひとつ,一つ,one (used when counting things)
11,ふたつ,二つ,two (used when counting things)
11,みっつ,三つ,three (used when counting things)
11,よっつ,四つ,four (used when counting things)
11,いつつ,五つ,five (used when counting things)
11,ななつ,七つ,seven (used when counting things)
11,やっつ,八つ,eight (used when counting things)
11,ここのつ,九つ,nine (used when counting things)
11,とお,十,ten (used when counting things)
11,いくつ,幾つ,how many
11,ひとり,一人,one person
11,～にん,～人,~ people
11,～まい,～枚,"counter for paper, stamps, etc."
11,～かい,～回,~ times
11,りんご,,apple
11,みかん,蜜柑,mandarin orange
11,サンドイッチ,,sandwich
11,アイスクリーム,,ice cream
11,きって,切手,postage stamp
11,はがき,葉書,post card
11,ふうとう,封筒,envelope
11,そくたつ,速達,special delivery
11,かきとめ,書留,registered mail
11,ふなびん,船便,sea mail
11,りょうしん,両親,parents
11,きょうだい,兄弟,brothers and sisters
11,あに,兄,(my) elder brother
11,おにいさん,お兄さん,(someone else's) elder brother
11,おねえさん,お姉さん,(someone else's) elder sister
11,おとうと,弟,(my) younger brother
11,おとうとさん,弟さん,(someone else's) younger brother
11,いもうと,妹,(my) younger sister
11,いもうとさん,妹さん,(someone else's) younger sister
11,がいこく,外国,foreign country
11,～じかん,～時間,~hours
11,～しゅうかん,～週間,~weeks
11,～ねん,～年,~years
11,～ぐらい,,about ~
11,～どのくらい,,how long
11,ぜんぶで,全部で,in total
11,みんな,皆,"all, everything"
11,～だけ,,only ~
11,おでかけですか。,お出かけですか。Are,you going out?
